P1	Borivali --> Churchgate
P2	Vaitarna --> Vasai Road
P3	Dahanu Road --> Palghar
P4	Khar Road --> Vasai Road
P5	Dahanu Road --> Palghar
P6	Mahim --> Kandivali
P7	Umroli --> Mahalaxmi
P8	Charni Road --> Boisar
P9	Virar --> Khar Road
P10	Andheri --> Dadar
P11	Andheri --> Vaitarna
P12	Mahalaxmi --> Saphale
P13	Charni Road --> Mahim
P14	Mira Road --> Nala Sopara
P15	Dadar --> Mira Road
P16	Saphale --> Palghar
P17	Palghar --> Umroli
P18	Mahim --> Mira Road
P19	Vaitarna --> Marine Lines
P20	Vaitarna --> Grant Road
P21	Mira Road --> Churchgate
P22	Lower Parel --> Naigaon
P23	Vile Parle --> Mumbai Central
P24	Mira Road --> Vile Parle
P25	Marine Lines --> Nala Sopara
P26	Dahisar --> Mahim
P27	Elphinstone Road --> Bhayandar
P28	Borivali --> Mira Road
P29	Umroli --> Elphinstone Road
P30	Bhayandar --> Saphale
P31	Borivali --> Dadar
P32	Umroli --> Vile Parle
P33	Bandra --> Vile Parle
P34	Elphinstone Road --> Malad
P35	Khar Road --> Mahalaxmi
P36	Nala Sopara --> Vaitarna
P37	Saphale --> Dahisar
P38	Churchgate --> Saphale
P39	Saphale --> Andheri
P40	Elphinstone Road --> Santacruz
P41	Marine Lines --> Naigaon
P42	Vile Parle --> Khar Road
P43	Churchgate --> Elphinstone Road
P44	Umroli --> Vaitarna
P45	Saphale --> Naigaon
P46	Naigaon --> Mumbai Central
P47	Andheri --> Dadar
P48	Elphinstone Road --> Malad
P49	Santacruz --> Goregaon
P50	Saphale --> Elphinstone Road
P51	Borivali --> Malad
P52	Bandra --> Elphinstone Road
P53	Mahim --> Umroli
P54	Vasai Road --> Mumbai Central
P55	Dahisar --> Khar Road
P56	Jogeshwari --> Virar
P57	Vasai Road --> Vile Parle
P58	Lower Parel --> Matunga
P59	Vile Parle --> Kandivali
P60	Elphinstone Road --> Mahalaxmi
P61	Palghar --> Elphinstone Road
P62	Dahisar --> Khar Road
P63	Jogeshwari --> Vasai Road
P64	Mumbai Central --> Kandivali
P65	Vaitarna --> Kelve Road
P66	Vasai Road --> Santacruz
P67	Kandivali --> Mahim
P68	Dadar --> Umroli
P69	Matunga --> Kandivali
P70	Dadar --> Mahalaxmi
P71	Goregaon --> Mahim
P72	Malad --> Khar Road
P73	Nala Sopara --> Mahim
P74	Andheri --> Naigaon
P75	Jogeshwari --> Charni Road
P76	Boisar --> Charni Road
P77	Bhayandar --> Dadar
P78	Borivali --> Khar Road
P79	Naigaon --> Dahisar
P80	Umroli --> Vile Parle
P81	Kelve Road --> Goregaon
