P1	Elphinstone Road --> Bandra
P2	Charni Road --> Vile Parle
P3	Mumbai Central --> Grant Road
P4	Lower Parel --> Churchgate
P5	Palghar --> Jogeshwari
P6	Matunga --> Vangaon
P7	Marine Lines --> Jogeshwari
P8	Saphale --> Marine Lines
P9	Kandivali --> Elphinstone Road
P10	Dadar --> Saphale
P11	Vile Parle --> Mira Road
P12	Bandra --> Mumbai Central
P13	Vasai Road --> Kelve Road
P14	Marine Lines --> Kandivali
P15	Umroli --> Palghar
P16	Dadar --> Mahim
P17	Andheri --> Goregaon
P18	Andheri --> Mumbai Central
P19	Borivali --> Mahalaxmi
P20	Kelve Road --> Marine Lines
P21	Kelve Road --> Marine Lines
P22	Borivali --> Kandivali
P23	Kandivali --> Andheri
P24	Lower Parel --> Khar Road
P25	Marine Lines --> Borivali
P26	Nala Sopara --> Vangaon
P27	Mumbai Central --> Vaitarna
P28	Andheri --> Vangaon
P29	Mumbai Central --> Malad
P30	Dahanu Road --> Khar Road
P31	Bandra --> Santacruz
P32	Kandivali --> Bandra
P33	Palghar --> Andheri
P34	Malad --> Santacruz
P35	Bandra --> Grant Road
P36	Mira Road --> Marine Lines
P37	Vile Parle --> Mahim
P38	Vaitarna --> Dadar
P39	Mumbai Central --> Lower Parel
P40	Borivali --> Jogeshwari
P41	Dadar --> Malad
P42	Nala Sopara --> Khar Road
P43	Jogeshwari --> Bhayandar
P44	Umroli --> Mira Road
P45	Dahanu Road --> Boisar
P46	Vaitarna --> Nala Sopara
P47	Matunga --> Kandivali
P48	Khar Road --> Elphinstone Road
P49	Goregaon --> Naigaon
P50	Mahalaxmi --> Boisar
P51	Lower Parel --> Matunga
P52	Jogeshwari --> Virar
P53	Andheri --> Matunga
P54	Mira Road --> Bhayandar
P55	Lower Parel --> Mumbai Central
P56	Palghar --> Bandra
P57	Goregaon --> Vangaon
P58	Matunga --> Dadar
P59	Charni Road --> Virar
P60	Saphale --> Mahim
P61	Vasai Road --> Mira Road
P62	Dadar --> Andheri
P63	Churchgate --> Santacruz
P64	Mahalaxmi --> Borivali
P65	Matunga --> Andheri
P66	Lower Parel --> Virar
P67	Jogeshwari --> Churchgate
P68	Churchgate --> Saphale
P69	Bhayandar --> Lower Parel
P70	Churchgate --> Vaitarna
P71	Goregaon --> Matunga
P72	Umroli --> Mumbai Central
P73	Grant Road --> Goregaon
P74	Mumbai Central --> Borivali
P75	Malad --> Marine Lines
P76	Elphinstone Road --> Kelve Road
P77	Nala Sopara --> Mumbai Central
P78	Vile Parle --> Kandivali
P79	Vile Parle --> Santacruz
